name,type,address,lat,lng,place_id,google_types,rating,user_ratings_total
Kids Science Labs - Seattle,Museum,"405 NE 71st St, Seattle, WA 98115, USA",47.6797349,-122.32407,ChIJ_wDwA20UkFQRFtxuL6EDJ1g,establishment|museum|point_of_interest,4.8,22
Tropical Butterfly House,Museum,"200 2nd Ave, Seattle, WA 98109, USA",47.6190292,-122.3504859,ChIJc80YYk8VkFQRN8oK-40N_50,establishment|point_of_interest|tourist_attraction,4.7,59
The ART INN Seattle - Family Room with car parking included,Museum,"Seattle, WA 98122, USA",47.60602189999999,-122.3156815,ChIJX1RGUMZqkFQRZkNfP__eGiA,establishment|lodging|point_of_interest,0,0
Kids Discovery Museum,Museum,"301 Ravine Ln NE, Bainbridge Island, WA 98110, USA",47.6261421,-122.5147891,ChIJQSVrv7k-kFQR_8Ry1UmgT6Q,establishment|museum|point_of_interest|school|tourist_attraction,4.3,426
KidsQuest Children's Museum,Museum,"1116 108th Ave NE, Bellevue, WA 98004, USA",47.6208569,-122.1959171,ChIJc8TRNYxskFQR9PcffBOC2gc,establishment|museum|point_of_interest|tourist_attraction,4.5,1996
Seattle Aquarium,Attraction,"1483 Alaskan Way Pier 59, Seattle, WA 98101, USA",47.6074002,-122.3429559,ChIJQ_oEiK1qkFQRg3bU4l3mmWs,aquarium|establishment|point_of_interest|tourist_attraction|zoo,4.3,22880
Seattle Public Library - Central Library,Library,"1000 4th Ave, Seattle, WA 98104, USA",47.6066621,-122.3321837,ChIJ55fLWVtBkFQR0v31eadEoLM,establishment|library|point_of_interest|tourist_attraction,4.7,1905
Capitol Hill Branch - The Seattle Public Library,Library,"425 Harvard Ave E, Seattle, WA 98102, USA",47.6230001,-122.3223973,ChIJ1Y9IDC4VkFQRteLhIs-Bf4I,establishment|library|point_of_interest,4.4,156
International District/Chinatown Branch - The Seattle Public Library,Library,"713 8th Ave S, Seattle, WA 98104, USA",47.59623269999999,-122.3227843,ChIJn-krn71qkFQR54uojagWKD8,establishment|library|point_of_interest,4.4,46
Douglass-Truth Branch - The Seattle Public Library,Library,"2300 E Yesler Wy, Seattle, WA 98122, USA",47.6019184,-122.3016502,ChIJz7j3fcJqkFQR4IjrnHLzv74,establishment|library|point_of_interest,4.5,113
